source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,1,<module>,1,0.00023720000000000002,5869.292061,solution_clean_qiskit,2
solution_clean_qiskit.py,98,train,1,0.0231464,5866.3161421,solution_clean_qiskit,2
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0017728000000000002,5752.4673191,solution_clean_qiskit,2
solution_clean_qiskit.py,1,<module>,1,0.0001028,4482.750360200001,solution_clean_qiskit,5
solution_clean_pennylane.py,1,<module>,1,8.180000000000001e-05,4480.6641783000005,solution_clean_pennylane,2
solution_clean_qiskit.py,98,train,1,0.0088448,4480.3656114000005,solution_clean_qiskit,5
solution_clean_pennylane.py,87,train,1,0.0021756,4468.222361800001,solution_clean_pennylane,2
solution_clean_qiskit.py,1,<module>,1,0.0002699,4466.6717862000005,solution_clean_qiskit,3
solution_clean_qiskit.py,98,train,1,0.009556400000000001,4464.2100814000005,solution_clean_qiskit,3
solution_clean_qiskit.py,1,<module>,1,9.740000000000001e-05,4452.3813209,solution_clean_qiskit,1
solution_clean_qiskit.py,98,train,1,0.0061941,4450.2261808,solution_clean_qiskit,1
solution_clean_qiskit.py,1,<module>,1,0.00011350000000000001,4432.8988719,solution_clean_qiskit,4
solution_clean_qiskit.py,98,train,1,0.0096827,4427.622558,solution_clean_qiskit,4
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0012936,4412.467255500001,solution_clean_qiskit,5
solution_clean_pennylane.py,1,<module>,1,9.39e-05,4393.3941513,solution_clean_pennylane,3
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0014792000000000002,4389.0857709,solution_clean_qiskit,3
solution_clean_pennylane.py,87,train,1,0.0026684,4376.117787300001,solution_clean_pennylane,3
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0014327,4375.9516835,solution_clean_qiskit,1
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013014,4358.819959400001,solution_clean_qiskit,4
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.059867000000000004,3607.2233962,solution_clean_pennylane,2
solution_clean_pennylane.py,71,loss_func,200,0.0174115,3589.2449867,solution_clean_pennylane,2
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0565784,3522.4679739000003,solution_clean_pennylane,3
solution_clean_pennylane.py,71,loss_func,200,0.015638700000000002,3502.358869,solution_clean_pennylane,3
solution_clean_pennylane.py,1,<module>,1,9.42e-05,3153.0822634,solution_clean_pennylane,1
solution_clean_pennylane.py,87,train,1,0.0017796,3143.2962049000002,solution_clean_pennylane,1
solution_clean_pennylane.py,1,<module>,1,0.00012040000000000001,3035.4434562,solution_clean_pennylane,4
solution_clean_pennylane.py,87,train,1,0.0016049,3021.0178147,solution_clean_pennylane,4
solution_clean_pennylane.py,1,<module>,1,0.00010420000000000001,2974.7406354,solution_clean_pennylane,5
solution_clean_pennylane.py,87,train,1,0.0015226,2965.0498635000004,solution_clean_pennylane,5
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0447205,2548.3861445000002,solution_clean_pennylane,1
solution_clean_pennylane.py,71,loss_func,200,0.0120502,2532.4044418000003,solution_clean_pennylane,1
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.038937400000000004,2452.4320459,solution_clean_pennylane,4
solution_clean_pennylane.py,95,<lambda>,100,0.0003263,2449.0659995,solution_clean_pennylane,2
solution_clean_pennylane.py,71,loss_func,200,0.0124253,2436.1529328,solution_clean_pennylane,4
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.042975900000000004,2405.2675744000003,solution_clean_pennylane,5
solution_clean_pennylane.py,71,loss_func,200,0.011729000000000002,2389.0821914000003,solution_clean_pennylane,5
solution_clean_pennylane.py,95,<lambda>,100,0.00037400000000000004,2368.2433873,solution_clean_pennylane,3
solution_clean_pennylane.py,95,<lambda>,100,0.0002718,1731.0630679,solution_clean_pennylane,1
solution_clean_pennylane.py,95,<lambda>,100,0.00026260000000000004,1659.9981991000002,solution_clean_pennylane,4
solution_clean_pennylane.py,95,<lambda>,100,0.0002505,1625.1878365,solution_clean_pennylane,5
solution_clean_pennylane.py,36,_basis_circuit,12928,0.11752340000000001,289.890011,solution_clean_pennylane,2
solution_clean_pennylane.py,49,ansatz,12928,6.0569354,288.5998912,solution_clean_pennylane,2
solution_clean_pennylane.py,36,_basis_circuit,12928,0.12724370000000002,278.01731,solution_clean_pennylane,3
solution_clean_pennylane.py,49,ansatz,12928,6.0537073,276.7086276,solution_clean_pennylane,3
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.42770460000000005,224.6071166,solution_clean_qiskit,2
solution_clean_qiskit.py,81,loss_func,200,0.031326900000000005,222.89002200000002,solution_clean_qiskit,2
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0901421,196.8989933,solution_clean_pennylane,1
solution_clean_pennylane.py,49,ansatz,12928,4.3357947,195.931894,solution_clean_pennylane,1
solution_clean_pennylane.py,36,_basis_circuit,12928,0.087147,189.03217740000002,solution_clean_pennylane,4
solution_clean_pennylane.py,49,ansatz,12928,4.2674975,188.0843724,solution_clean_pennylane,4
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0852455,185.0037417,solution_clean_pennylane,5
solution_clean_pennylane.py,49,ansatz,12928,4.1634291,184.07376100000002,solution_clean_pennylane,5
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2875747,147.2751603,solution_clean_qiskit,1
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2837332,146.61098460000002,solution_clean_qiskit,3
solution_clean_qiskit.py,81,loss_func,200,0.0226441,145.90930060000002,solution_clean_qiskit,1
solution_clean_qiskit.py,81,loss_func,200,0.021914600000000003,145.5164325,solution_clean_qiskit,3
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2615613,132.9502898,solution_clean_qiskit,4
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2670924,131.65931210000002,solution_clean_qiskit,5
solution_clean_qiskit.py,81,loss_func,200,0.0218745,131.53593360000002,solution_clean_qiskit,4
solution_clean_qiskit.py,81,loss_func,200,0.0210785,130.4381995,solution_clean_qiskit,5
solution_clean_qiskit.py,110,loss_only,100,0.0002476,110.27494010000001,solution_clean_qiskit,2
solution_clean_qiskit.py,47,ansatz,12928,4.2817867000000005,91.1628362,solution_clean_qiskit,2
solution_clean_qiskit.py,110,loss_only,100,0.00021590000000000002,72.5052105,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,0.00019800000000000002,70.9252652,solution_clean_qiskit,3
solution_clean_qiskit.py,47,ansatz,12928,2.5820762000000004,64.39960450000001,solution_clean_qiskit,3
solution_clean_qiskit.py,110,loss_only,100,0.00017230000000000001,63.32764220000001,solution_clean_qiskit,4
solution_clean_qiskit.py,47,ansatz,12928,2.5324136000000004,63.28350210000001,solution_clean_qiskit,1
solution_clean_qiskit.py,110,loss_only,100,0.0001853,63.158782300000006,solution_clean_qiskit,5
