source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,1,<module>,1,0.00012340000000000002,20422.8910909,solution_clean_qiskit,1
solution_clean_qiskit.py,98,train,1,0.0237242,20419.8399041,solution_clean_qiskit,1
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0026553,20212.3035874,solution_clean_qiskit,1
solution_clean_qiskit.py,1,<module>,1,0.0001821,8014.031477500001,solution_clean_qiskit,2
solution_clean_qiskit.py,98,train,1,0.0109329,8010.287745600001,solution_clean_qiskit,2
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0016109000000000002,7909.1779722,solution_clean_qiskit,2
solution_clean_qiskit.py,1,<module>,1,9.49e-05,4890.203861700001,solution_clean_qiskit,3
solution_clean_qiskit.py,98,train,1,0.0087478,4881.6723805,solution_clean_qiskit,3
solution_clean_qiskit.py,1,<module>,1,0.0001034,4862.4756843000005,solution_clean_qiskit,5
solution_clean_qiskit.py,98,train,1,0.008800500000000001,4859.9326859,solution_clean_qiskit,5
solution_clean_qiskit.py,1,<module>,1,0.0001016,4854.1813775,solution_clean_qiskit,4
solution_clean_qiskit.py,98,train,1,0.0084899,4850.3789735,solution_clean_qiskit,4
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013466,4804.3908369,solution_clean_qiskit,3
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013204,4782.881889400001,solution_clean_qiskit,5
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013733,4773.3861109,solution_clean_qiskit,4
solution_clean_pennylane.py,1,<module>,1,0.0004327,3479.0097713,solution_clean_pennylane,1
solution_clean_pennylane.py,87,train,1,0.0023266000000000003,3462.9787756,solution_clean_pennylane,1
solution_clean_pennylane.py,1,<module>,1,9.580000000000001e-05,3208.9276404,solution_clean_pennylane,3
solution_clean_pennylane.py,87,train,1,0.0016655,3187.4821774,solution_clean_pennylane,3
solution_clean_pennylane.py,1,<module>,1,8.04e-05,3183.2734049,solution_clean_pennylane,2
solution_clean_pennylane.py,87,train,1,0.0017134000000000001,3171.8980261,solution_clean_pennylane,2
solution_clean_pennylane.py,1,<module>,1,6.53e-05,3152.072246,solution_clean_pennylane,5
solution_clean_pennylane.py,1,<module>,1,0.00012030000000000001,3145.5941332,solution_clean_pennylane,4
solution_clean_pennylane.py,87,train,1,0.0018072000000000001,3141.5866697,solution_clean_pennylane,5
solution_clean_pennylane.py,87,train,1,0.0017257000000000002,3135.2477175000004,solution_clean_pennylane,4
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.045408300000000006,2794.8839248000004,solution_clean_pennylane,1
solution_clean_pennylane.py,71,loss_func,200,0.0128456,2734.0293614,solution_clean_pennylane,1
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0411908,2586.8216694000002,solution_clean_pennylane,3
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0422746,2573.2441619,solution_clean_pennylane,2
solution_clean_pennylane.py,71,loss_func,200,0.0118615,2569.8132635,solution_clean_pennylane,3
solution_clean_pennylane.py,71,loss_func,200,0.012042,2556.606929,solution_clean_pennylane,2
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0402466,2549.9477622,solution_clean_pennylane,5
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0400107,2546.5176739000003,solution_clean_pennylane,4
solution_clean_pennylane.py,71,loss_func,200,0.0119678,2533.1031416,solution_clean_pennylane,5
solution_clean_pennylane.py,71,loss_func,200,0.011268,2529.9742004,solution_clean_pennylane,4
solution_clean_pennylane.py,95,<lambda>,100,0.00047230000000000004,1814.5388386000002,solution_clean_pennylane,1
solution_clean_pennylane.py,95,<lambda>,100,0.000299,1747.3015843,solution_clean_pennylane,3
solution_clean_pennylane.py,95,<lambda>,100,0.00037160000000000003,1735.5790615,solution_clean_pennylane,2
solution_clean_pennylane.py,95,<lambda>,100,0.00044770000000000004,1724.1136942,solution_clean_pennylane,5
solution_clean_pennylane.py,95,<lambda>,100,0.0002729,1719.9812075000002,solution_clean_pennylane,4
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.6863899,408.3645167,solution_clean_qiskit,1
solution_clean_qiskit.py,81,loss_func,200,0.0530004,407.09867510000004,solution_clean_qiskit,1
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1087647,228.2948962,solution_clean_pennylane,1
solution_clean_pennylane.py,49,ansatz,12928,4.7982752,227.2035293,solution_clean_pennylane,1
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0934503,210.4690007,solution_clean_pennylane,3
solution_clean_pennylane.py,49,ansatz,12928,4.4073264000000005,209.4860227,solution_clean_pennylane,3
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1019236,209.18078960000003,solution_clean_pennylane,2
