source,line,function,ncalls,tottime,cumtime,run,backend
solution_clean_qiskit.py,1,<module>,1,0.0002372,5869.292061,2,Danny
solution_clean_qiskit.py,98,train,1,0.0231464,5866.3161421,2,Danny
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0017728,5752.4673191,2,Danny
solution_clean_qiskit.py,1,<module>,1,0.0001028,4482.750360200001,5,Danny
solution_clean_pennylane.py,1,<module>,1,8.180000000000001e-05,4480.6641783000005,2,Danny
solution_clean_qiskit.py,98,train,1,0.0088448,4480.3656114000005,5,Danny
solution_clean_pennylane.py,87,train,1,0.0021756,4468.222361800001,2,Danny
solution_clean_qiskit.py,1,<module>,1,0.0002699,4466.6717862000005,3,Danny
solution_clean_qiskit.py,98,train,1,0.0095564,4464.2100814000005,3,Danny
solution_clean_qiskit.py,1,<module>,1,9.74e-05,4452.3813209,1,Danny
solution_clean_qiskit.py,98,train,1,0.0061941,4450.2261808,1,Danny
solution_clean_qiskit.py,1,<module>,1,0.0001135,4432.8988719,4,Danny
solution_clean_qiskit.py,98,train,1,0.0096827,4427.622558,4,Danny
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0012936,4412.467255500001,5,Danny
solution_clean_pennylane.py,1,<module>,1,9.39e-05,4393.3941513,3,Danny
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0014792,4389.0857709,3,Danny
solution_clean_pennylane.py,87,train,1,0.0026684,4376.117787300001,3,Danny
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0014327,4375.9516835,1,Danny
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013014,4358.819959400001,4,Danny
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.059867,3607.2233962,2,Danny
solution_clean_pennylane.py,71,loss_func,200,0.0174115,3589.2449867,2,Danny
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0565784,3522.4679739000003,3,Danny
solution_clean_pennylane.py,71,loss_func,200,0.0156387,3502.358869,3,Danny
solution_clean_pennylane.py,1,<module>,1,9.42e-05,3153.0822634,1,Danny
solution_clean_pennylane.py,87,train,1,0.0017796,3143.2962049,1,Danny
solution_clean_pennylane.py,1,<module>,1,0.0001204,3035.4434562,4,Danny
solution_clean_pennylane.py,87,train,1,0.0016049,3021.0178147,4,Danny
solution_clean_pennylane.py,1,<module>,1,0.0001042,2974.7406354,5,Danny
solution_clean_pennylane.py,87,train,1,0.0015226,2965.0498635000004,5,Danny
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0447205,2548.3861445,1,Danny
solution_clean_pennylane.py,71,loss_func,200,0.0120502,2532.4044418000003,1,Danny
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0389374,2452.4320459,4,Danny
solution_clean_pennylane.py,95,<lambda>,100,0.0003263,2449.0659995,2,Danny
solution_clean_pennylane.py,71,loss_func,200,0.0124253,2436.1529328,4,Danny
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0429759,2405.2675744000003,5,Danny
solution_clean_pennylane.py,71,loss_func,200,0.011729,2389.0821914000003,5,Danny
solution_clean_pennylane.py,95,<lambda>,100,0.000374,2368.2433873,3,Danny
solution_clean_pennylane.py,95,<lambda>,100,0.0002718,1731.0630679,1,Danny
solution_clean_pennylane.py,95,<lambda>,100,0.0002626,1659.9981991000002,4,Danny
solution_clean_pennylane.py,95,<lambda>,100,0.0002505,1625.1878365,5,Danny
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1175234,289.890011,2,Danny
solution_clean_pennylane.py,49,ansatz,12928,6.0569354,288.5998912,2,Danny
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1272437,278.01731,3,Danny
solution_clean_pennylane.py,49,ansatz,12928,6.0537073,276.7086276,3,Danny
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.4277046,224.6071166,2,Danny
solution_clean_qiskit.py,81,loss_func,200,0.0313269,222.890022,2,Danny
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0901421,196.8989933,1,Danny
solution_clean_pennylane.py,49,ansatz,12928,4.3357947,195.931894,1,Danny
solution_clean_pennylane.py,36,_basis_circuit,12928,0.087147,189.0321774,4,Danny
solution_clean_pennylane.py,49,ansatz,12928,4.2674975,188.0843724,4,Danny
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0852455,185.0037417,5,Danny
solution_clean_pennylane.py,49,ansatz,12928,4.1634291,184.073761,5,Danny
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2875747,147.2751603,1,Danny
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2837332,146.61098460000002,3,Danny
solution_clean_qiskit.py,81,loss_func,200,0.0226441,145.90930060000002,1,Danny
solution_clean_qiskit.py,81,loss_func,200,0.0219146,145.5164325,3,Danny
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2615613,132.9502898,4,Danny
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2670924,131.65931210000002,5,Danny
solution_clean_qiskit.py,81,loss_func,200,0.0218745,131.53593360000002,4,Danny
solution_clean_qiskit.py,81,loss_func,200,0.0210785,130.4381995,5,Danny
solution_clean_qiskit.py,110,loss_only,100,0.0002476,110.2749401,2,Danny
solution_clean_qiskit.py,47,ansatz,12928,4.2817867000000005,91.1628362,2,Danny
solution_clean_qiskit.py,110,loss_only,100,0.0002159,72.5052105,1,Danny
solution_clean_qiskit.py,110,loss_only,100,0.000198,70.9252652,3,Danny
solution_clean_qiskit.py,47,ansatz,12928,2.5820762000000004,64.39960450000001,3,Danny
solution_clean_qiskit.py,110,loss_only,100,0.0001723,63.32764220000001,4,Danny
solution_clean_qiskit.py,47,ansatz,12928,2.5324136000000004,63.28350210000001,1,Danny
solution_clean_qiskit.py,110,loss_only,100,0.0001853,63.158782300000006,5,Danny
solution_clean_qiskit.py,47,ansatz,12928,2.2792921,58.477895700000005,4,Danny
solution_clean_qiskit.py,47,ansatz,12928,2.3382422000000003,57.8482083,5,Danny
solution_clean_pennylane.py,11,__init__,1,4.67e-05,10.3281283,2,Danny
solution_clean_pennylane.py,11,__init__,1,4.8700000000000005e-05,9.7584538,3,Danny
solution_clean_pennylane.py,11,__init__,1,3.33e-05,8.228674100000001,4,Danny
solution_clean_pennylane.py,11,__init__,1,3.02e-05,7.781777900000001,1,Danny
solution_clean_pennylane.py,11,__init__,1,3.18e-05,7.5866685,5,Danny
solution_clean_qiskit.py,14,__init__,1,4.56e-05,0.8639284,4,Danny
solution_clean_qiskit.py,195,loss_plot,1,3.2800000000000004e-05,0.8126361000000001,2,Danny
solution_clean_qiskit.py,14,__init__,1,5.3e-05,0.6439479,5,Danny
solution_clean_qiskit.py,14,__init__,1,6.09e-05,0.6048991,3,Danny
solution_clean_qiskit.py,14,__init__,1,5.16e-05,0.5540365,2,Danny
solution_clean_qiskit.py,14,__init__,1,6.110000000000001e-05,0.5365813,1,Danny
solution_clean_pennylane.py,132,loss_plot,1,1.49e-05,0.4856362,3,Danny
solution_clean_pennylane.py,132,loss_plot,1,1.96e-05,0.4725316,2,Danny
solution_clean_qiskit.py,195,loss_plot,1,2.25e-05,0.4299928,3,Danny
solution_clean_qiskit.py,195,loss_plot,1,2.5200000000000003e-05,0.4222168,4,Danny
solution_clean_pennylane.py,171,save_plot,3,1.52e-05,0.3953053,5,Danny
solution_clean_qiskit.py,195,loss_plot,1,2.0600000000000003e-05,0.3931991,5,Danny
solution_clean_pennylane.py,132,loss_plot,1,2.03e-05,0.3888448,1,Danny
solution_clean_qiskit.py,195,loss_plot,1,3.08e-05,0.3698233,1,Danny
solution_clean_pennylane.py,132,loss_plot,1,1.79e-05,0.3552869,5,Danny
solution_clean_pennylane.py,132,loss_plot,1,1.86e-05,0.3509985,4,Danny
solution_clean_pennylane.py,171,save_plot,3,1.48e-05,0.3476655,2,Danny
solution_clean_pennylane.py,171,save_plot,3,1.49e-05,0.3289086,1,Danny
solution_clean_pennylane.py,171,save_plot,3,1.5700000000000002e-05,0.3126179,4,Danny
solution_clean_pennylane.py,171,save_plot,3,1.09e-05,0.300384,3,Danny
solution_clean_qiskit.py,231,plot_matrix_as_image,1,3.21e-05,0.3003127,2,Danny
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,3.68e-05,0.264778,2,Danny
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.6100000000000002e-05,0.2020765,5,Danny
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.56e-05,0.1863713,5,Danny
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.84e-05,0.1803214,3,Danny
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.72e-05,0.1729183,4,Danny
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.14e-05,0.1450887,4,Danny
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,3.04e-05,0.1446987,2,Danny
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1e-05,0.1391853,2,Danny
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.5300000000000003e-05,0.139165,1,Danny
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,2.5200000000000003e-05,0.1389365,1,Danny
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.87e-05,0.1372889,5,Danny
solution_clean_pennylane.py,163,plot_matrix_as_image,1,1.08e-05,0.1362145,3,Danny
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.56e-05,0.1338936,5,Danny
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.42e-05,0.1337855,4,Danny
solution_clean_qiskit.py,231,plot_matrix_as_image,1,1.69e-05,0.1308282,1,Danny
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,3.27e-05,0.1294747,4,Danny
solution_clean_pennylane.py,146,plot_singular_values_comparison,1,1.77e-05,0.1228351,3,Danny
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,1.66e-05,0.105719,3,Danny
solution_clean_qiskit.py,212,plot_singular_values_comparison,1,2.19e-05,0.1052355,1,Danny
solution_clean_pennylane.py,180,from_image,1,4.07e-05,0.0314357,3,Danny
solution_clean_qiskit.py,252,from_image,1,1.94e-05,0.0214638,4,Danny
solution_clean_qiskit.py,123,<genexpr>,2000,0.0018278,0.0145549,2,Danny
solution_clean_pennylane.py,39,<listcomp>,12928,0.0140842,0.0140842,3,Danny
solution_clean_pennylane.py,39,<listcomp>,12928,0.0138718,0.0138718,2,Danny
solution_clean_pennylane.py,39,<listcomp>,12928,0.0111594,0.0111594,5,Danny
solution_clean_qiskit.py,123,<genexpr>,2000,0.0014391,0.0106134,3,Danny
solution_clean_qiskit.py,123,<genexpr>,2000,0.0014248,0.0104347,1,Danny
solution_clean_pennylane.py,39,<listcomp>,12928,0.0103907,0.0103907,1,Danny
solution_clean_pennylane.py,39,<listcomp>,12928,0.0103855,0.0103855,4,Danny
solution_clean_qiskit.py,123,<genexpr>,2000,0.0012129,0.0094769,5,Danny
solution_clean_qiskit.py,123,<genexpr>,2000,0.0012898,0.009425,4,Danny
solution_clean_qiskit.py,93,<listcomp>,200,0.0017361,0.0056678,2,Danny
solution_clean_pennylane.py,180,from_image,1,4.71e-05,0.0047983,2,Danny
solution_clean_qiskit.py,252,from_image,1,1.91e-05,0.0046401,2,Danny
solution_clean_qiskit.py,252,from_image,1,1.84e-05,0.0046273,3,Danny
solution_clean_pennylane.py,180,from_image,1,4.14e-05,0.0045867,5,Danny
solution_clean_qiskit.py,93,<listcomp>,200,0.0014316,0.00452,1,Danny
solution_clean_qiskit.py,252,from_image,1,1.85e-05,0.0044211,1,Danny
solution_clean_qiskit.py,93,<listcomp>,200,0.0013412,0.0042568,3,Danny
solution_clean_pennylane.py,180,from_image,1,3.65e-05,0.0042072,4,Danny
solution_clean_qiskit.py,93,<listcomp>,200,0.0013093,0.0041275,5,Danny
solution_clean_pennylane.py,180,from_image,1,3.72e-05,0.0040976,1,Danny
solution_clean_qiskit.py,252,from_image,1,1.69e-05,0.0040929,5,Danny
solution_clean_qiskit.py,93,<listcomp>,200,0.0013172,0.004061,4,Danny
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0002877,0.0032337,2,Danny
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0007421,0.0031744,2,Danny
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0001891,0.0022982,1,Danny
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0001232,0.0015748,5,Danny
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.0001414,0.0015643,3,Danny
solution_clean_pennylane.py,112,frobenius_norm_error,1,0.000113,0.0014552,4,Danny
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.000188,0.000886,3,Danny
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0001857,0.0008522,5,Danny
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0001745,0.0008171,1,Danny
solution_clean_qiskit.py,155,frobenius_norm_error,1,0.0001838,0.0008087,4,Danny
solution_clean_qiskit.py,188,__init__,1,4.1000000000000006e-06,0.0005744,2,Danny
solution_clean_qiskit.py,188,__init__,1,5.4e-06,0.0004424,1,Danny
solution_clean_qiskit.py,188,__init__,1,3.9e-06,0.0003083,3,Danny
solution_clean_qiskit.py,188,__init__,1,3.3e-06,0.0002861,4,Danny
solution_clean_qiskit.py,188,__init__,1,2.9e-06,0.0002854,5,Danny
