source,line,function,ncalls,tottime,cumtime,backend,run
solution_clean_qiskit.py,1,<module>,1,7.2458e-05,3300.655322125,solution_clean_qiskit,1
solution_clean_qiskit.py,98,train,1,0.004039532,3298.8843047920004,solution_clean_qiskit,1
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0009020640000000001,3263.702111127,solution_clean_qiskit,1
solution_clean_qiskit.py,1,<module>,1,0.000153837,3232.416243959,solution_clean_qiskit,2
solution_clean_qiskit.py,98,train,1,0.004022826,3230.857246292,solution_clean_qiskit,2
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.000852505,3196.5338582900004,solution_clean_qiskit,2
solution_clean_qiskit.py,1,<module>,1,0.000104956,3193.8009648330003,solution_clean_qiskit,3
solution_clean_qiskit.py,98,train,1,0.003880081,3192.240010459,solution_clean_qiskit,3
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0008313740000000001,3158.1511827540003,solution_clean_qiskit,3
solution_clean_qiskit.py,1,<module>,1,0.00010349400000000001,3124.305876417,solution_clean_qiskit,5
solution_clean_qiskit.py,98,train,1,0.003920934,3122.6505970000003,solution_clean_qiskit,5
solution_clean_qiskit.py,1,<module>,1,5.8667000000000006e-05,3120.150393375,solution_clean_qiskit,4
solution_clean_qiskit.py,98,train,1,0.0038694220000000004,3118.501277625,solution_clean_qiskit,4
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0008303630000000001,3088.8587255360003,solution_clean_qiskit,5
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0008367930000000001,3084.399457123,solution_clean_qiskit,4
solution_clean_pennylane.py,1,<module>,1,4.7043000000000003e-05,1780.423491208,solution_clean_pennylane,1
solution_clean_pennylane.py,87,train,1,0.001421802,1773.8291201670002,solution_clean_pennylane,1
solution_clean_pennylane.py,1,<module>,1,7.8248e-05,1771.581920416,solution_clean_pennylane,5
solution_clean_pennylane.py,87,train,1,0.0014133190000000001,1765.034510292,solution_clean_pennylane,5
